Customer ID,Status,Customer Level
CUS-927800,Retained,Enterprise
CUS-552650,Retained,Long-tail
CUS-609850,Churn,Enterprise
CUS-1567800,Onboarding,Semi-Enterprise
CUS-1538850,Onboarding,Enterprise
CUS-385900,Churn,Long-tail
CUS-552600,Retained,Semi-Enterprise
CUS-161850,Churn,Long-tail
CUS-1496400,Retained,Enterprise
CUS-1441150,Churn,Long-tail
CUS-1577150,Onboarding,Long-tail
CUS-165050,Churn,Long-tail
CUS-1459850,Churn,Semi-Enterprise
CUS-1560950,Onboarding,Enterprise
CUS-796350,Retained,Long-tail
CUS-1507050,Churn,Long-tail
CUS-1507100,Churn,Long-tail
CUS-1507150,Churn,Long-tail
CUS-1056600,Churn,Enterprise
CUS-1437150,Retained,Long-tail
CUS-1502300,Retained,Enterprise
CUS-175300,Churn,Long-tail
CUS-1600450,Onboarding,Enterprise
CUS-1077950,Churn,Long-tail
CUS-1077850,Churn,Long-tail
CUS-908950,Retained,Enterprise
CUS-1078000,Churn,Semi-Enterprise
CUS-1515050,Retained,Semi-Enterprise
CUS-1031550,Churn,Long-tail
CUS-175350,Churn,Long-tail
CUS-1250100,Churn,Semi-Enterprise
CUS-320250,Churn,Long-tail
CUS-505000,Retained,Semi-Enterprise
CUS-1272750,Churn,Long-tail
CUS-753900,Churn,Enterprise
CUS-150550,Churn,Long-tail
CUS-277800,Retained,Semi-Enterprise
CUS-166050,Retained,Semi-Enterprise
CUS-1436600,Retained,Semi-Enterprise
CUS-1497650,Retained,Enterprise
CUS-162250,Churn,Long-tail
CUS-1063550,Churn,Long-tail
CUS-1487650,Churn,Long-tail
CUS-793200,Churn,Enterprise
CUS-5604300,Onboarding,Enterprise
CUS-334000,Churn,Long-tail
CUS-1019500,Retained,Enterprise
CUS-378850,Retained,Semi-Enterprise
CUS-1503950,Retained,Semi-Enterprise
CUS-1453650,Retained,Semi-Enterprise
CUS-317600,Churn,Long-tail
CUS-1598950,Onboarding,Semi-Enterprise
CUS-1201450,Churn,Long-tail
CUS-329450,Retained,Enterprise
CUS-703450,Retained,Enterprise
CUS-703500,Retained,Enterprise
CUS-703400,Retained,Enterprise
CUS-1501200,Retained,Long-tail
CUS-550150,Churn,Long-tail
CUS-1324000,Churn,Long-tail
CUS-370200,Onboarding,Semi-Enterprise
CUS-180400,Churn,Long-tail
CUS-828400,Retained,Enterprise
CUS-1281200,Churn,Long-tail
CUS-1492050,Retained,Long-tail
CUS-1468800,Retained,Long-tail
CUS-1234250,Retained,Enterprise
CUS-152400,Churn,Long-tail
CUS-565500,Retained,Enterprise
CUS-1103750,Retained,Enterprise
CUS-5604250,Onboarding,Semi-Enterprise
CUS-1056650,Churn,Enterprise
CUS-732750,Retained,Enterprise
CUS-1498300,Churn,Semi-Enterprise
CUS-1474750,Churn,Long-tail
CUS-927750,Churn,Semi-Enterprise
CUS-1565050,Onboarding,Long-tail
CUS-927700,Retained,Enterprise
CUS-1573900,Onboarding,Enterprise
CUS-1446950,Churn,Long-tail
CUS-160200,Retained,Enterprise
CUS-5600750,Onboarding,Enterprise
CUS-583300,Churn,Long-tail
CUS-1444600,Retained,Semi-Enterprise
CUS-1516850,Churn,Enterprise
CUS-1521100,Churn,Enterprise
CUS-230500,Retained,Semi-Enterprise
CUS-1088650,Churn,Semi-Enterprise
CUS-236800,Retained,Enterprise
CUS-547850,Churn,Long-tail
CUS-674700,Churn,Long-tail
CUS-224800,Retained,Long-tail
CUS-158900,Churn,Long-tail
CUS-1484900,Churn,Long-tail
CUS-1280200,Churn,Semi-Enterprise
CUS-346400,Retained,Long-tail
CUS-224850,Churn,Long-tail
CUS-273900,Churn,Long-tail
CUS-701050,Retained,Long-tail
CUS-156550,Churn,Long-tail
CUS-547900,Churn,Long-tail
CUS-1149100,Retained,Enterprise
CUS-312250,Churn,Long-tail
CUS-440800,Retained,Long-tail
CUS-498000,Churn,Long-tail
CUS-531400,Churn,Long-tail
CUS-1509600,Churn,Long-tail
CUS-165100,Churn,Long-tail
CUS-199700,Churn,Enterprise
CUS-834200,Churn,Long-tail
CUS-1261350,Churn,Long-tail
CUS-1568050,Onboarding,Semi-Enterprise
CUS-166650,Churn,Long-tail
CUS-1517050,Retained,Semi-Enterprise
CUS-234900,Churn,Long-tail
CUS-1541700,Onboarding,Enterprise
CUS-1539300,Onboarding,Enterprise
CUS-1539350,Onboarding,Enterprise
CUS-1486250,Churn,Semi-Enterprise
CUS-578400,Retained,Enterprise
CUS-1552200,Onboarding,Enterprise
CUS-1326000,Churn,Long-tail
CUS-156350,Churn,Long-tail
CUS-155350,Retained,Enterprise
CUS-1600300,Retained,Enterprise
CUS-1449100,Retained,Semi-Enterprise
CUS-1588050,Retained,Semi-Enterprise
CUS-467600,Churn,Long-tail
CUS-507000,Churn,Long-tail
CUS-155850,Retained,Semi-Enterprise
CUS-547550,Retained,Enterprise
CUS-513750,Churn,Enterprise
CUS-1552950,Onboarding,Enterprise
CUS-349050,Retained,Enterprise
CUS-1290050,Retained,Enterprise
CUS-1478100,Retained,Long-tail
CUS-1521050,Churn,Enterprise
CUS-174350,Churn,Long-tail
CUS-1606400,Onboarding,Semi-Enterprise
CUS-1456350,Churn,Semi-Enterprise
CUS-1467050,Churn,Long-tail
CUS-1476450,Retained,Long-tail
CUS-1476150,Retained,Semi-Enterprise
CUS-672900,Retained,Long-tail
CUS-1585500,Retained,Semi-Enterprise
CUS-739750,Churn,Long-tail
CUS-158850,Retained,Enterprise
CUS-1467900,Churn,Enterprise
CUS-1584400,Onboarding,Enterprise
CUS-245150,Churn,Long-tail
CUS-986100,Retained,Enterprise
CUS-1502900,Retained,Enterprise
CUS-1441450,Churn,Enterprise
CUS-1495550,Churn,Enterprise
CUS-561350,Churn,Long-tail
CUS-153000,Churn,Long-tail
CUS-1514550,Retained,Enterprise
CUS-751350,Churn,Semi-Enterprise
CUS-1441700,Retained,Enterprise
CUS-907950,Retained,Enterprise
CUS-404250,Churn,Long-tail
CUS-1493050,Retained,Semi-Enterprise
CUS-166000,Churn,Long-tail
CUS-1494150,Retained,Enterprise
CUS-1456750,Retained,Enterprise
CUS-304350,Churn,Long-tail
CUS-1497800,Onboarding,Enterprise
CUS-270200,Churn,Long-tail
CUS-1475350,Churn,Enterprise
CUS-337900,Retained,Enterprise
CUS-1483500,Churn,Long-tail
CUS-499600,Churn,Long-tail
CUS-1485650,Churn,Semi-Enterprise
CUS-1188300,Churn,Enterprise
CUS-608550,Churn,Long-tail
CUS-1580550,Onboarding,Enterprise
CUS-1494000,Retained,Enterprise
CUS-1456800,Churn,Semi-Enterprise
CUS-1465200,Retained,Enterprise
CUS-734450,Churn,Long-tail
CUS-1267350,Retained,Semi-Enterprise
CUS-1267450,Churn,Semi-Enterprise
CUS-1267400,Churn,Long-tail
CUS-1569700,Onboarding,Semi-Enterprise
CUS-1569750,Onboarding,Semi-Enterprise
CUS-1468200,Retained,Enterprise
CUS-1535100,Onboarding,Long-tail
CUS-1487450,Churn,Semi-Enterprise
CUS-198350,Churn,Enterprise
CUS-1464150,Churn,Enterprise
CUS-1102150,Retained,Long-tail
CUS-1579000,Onboarding,Long-tail
CUS-1480550,Retained,Semi-Enterprise
CUS-1492200,Churn,Long-tail
CUS-1569550,Onboarding,Enterprise
CUS-1521500,Retained,Semi-Enterprise
CUS-503800,Churn,Semi-Enterprise
CUS-329000,Retained,Enterprise
CUS-1437350,Churn,Semi-Enterprise
CUS-1601250,Onboarding,Enterprise
CUS-1460150,Retained,Enterprise
CUS-1471550,Churn,Long-tail
CUS-1481850,Churn,Enterprise
CUS-1478150,Churn,Semi-Enterprise
CUS-476500,Retained,Enterprise
CUS-343000,Churn,Long-tail
CUS-596050,Churn,Enterprise
CUS-1510950,Churn,Long-tail
CUS-591000,Retained,Long-tail
CUS-160100,Churn,Long-tail
CUS-5617700,Onboarding,Long-tail
CUS-1517800,Retained,Semi-Enterprise
CUS-923850,Churn,Long-tail
CUS-1587550,Retained,Long-tail
CUS-1466750,Churn,Semi-Enterprise
CUS-556900,Retained,Enterprise
CUS-1559500,Retained,Enterprise
CUS-1496900,Retained,Enterprise
CUS-879150,Churn,Long-tail
CUS-1442200,Churn,Long-tail
CUS-1333000,Churn,Long-tail
CUS-477000,Churn,Long-tail
CUS-1471600,Retained,Enterprise
CUS-1486450,Retained,Enterprise
CUS-290550,Churn,Long-tail
CUS-1490450,Retained,Enterprise
CUS-1605600,Churn,Long-tail
CUS-1458100,Retained,Semi-Enterprise
CUS-165700,Churn,Long-tail
CUS-1042500,Churn,Long-tail
CUS-863700,Churn,Long-tail
CUS-885550,Churn,Long-tail
CUS-1607100,Onboarding,Enterprise
CUS-244950,Churn,Long-tail
CUS-236600,Churn,Long-tail
CUS-262450,Retained,Enterprise
CUS-1559900,Retained,Enterprise
CUS-1597400,Retained,Enterprise
CUS-1436200,Churn,Long-tail
CUS-1492450,Churn,Long-tail
CUS-1471400,Onboarding,Enterprise
CUS-1494300,Retained,Enterprise
CUS-1537800,Retained,Enterprise
CUS-1502700,Retained,Enterprise
CUS-1437050,Retained,Enterprise
CUS-1515700,Retained,Enterprise
CUS-1002400,Retained,Enterprise
CUS-1483050,Retained,Enterprise
CUS-656700,Churn,Enterprise
CUS-1456600,Retained,Long-tail
CUS-1500200,Retained,Enterprise
CUS-1520250,Retained,Semi-Enterprise
CUS-172850,Retained,Semi-Enterprise
CUS-424550,Retained,Enterprise
CUS-547400,Retained,Enterprise
CUS-1464850,Churn,Long-tail
CUS-349150,Retained,Enterprise
CUS-1447650,Retained,Enterprise
CUS-1447400,Churn,Long-tail
CUS-1553000,Onboarding,Enterprise
CUS-908900,Retained,Enterprise
CUS-1589750,Retained,Semi-Enterprise
CUS-156100,Churn,Enterprise
CUS-1233850,Churn,Semi-Enterprise
CUS-1502750,Retained,Enterprise
CUS-1497050,Retained,Enterprise
CUS-558150,Retained,Enterprise
CUS-1528600,Retained,Enterprise
CUS-1472200,Retained,Enterprise
CUS-5605550,Onboarding,Enterprise
CUS-607700,Retained,Enterprise
CUS-510050,Retained,Enterprise
CUS-476700,Retained,Enterprise
CUS-1490150,Churn,Long-tail
CUS-1467750,Retained,Enterprise
CUS-1552300,Retained,Semi-Enterprise
CUS-552000,Churn,Long-tail
CUS-1526000,Retained,Enterprise
CUS-843200,Churn,Long-tail
CUS-1446900,Retained,Enterprise
CUS-1441050,Retained,Enterprise
CUS-1441100,Retained,Enterprise
CUS-1478350,Retained,Semi-Enterprise
CUS-950700,Retained,Semi-Enterprise
CUS-285500,Churn,Long-tail
