Customer ID,Product Bug Task Count
CUS-726400,87
CUS-237600,125
CUS-1520400,74
CUS-1444350,199
CUS-155350,87
CUS-182200,123
CUS-166700,67
CUS-1476450,143
CUS-619650,185
CUS-164850,197
CUS-552600,77
CUS-1463000,166
CUS-1206050,91
CUS-222250,170
CUS-1437350,48
CUS-960300,135
CUS-166050,164
CUS-726750,121
CUS-349050,165
CUS-1499950,159
CUS-1285150,155
CUS-1458500,177
CUS-424550,84
CUS-257050,151
CUS-1454600,152
CUS-1513300,133
CUS-241400,184
CUS-340450,195
CUS-203250,66
CUS-561550,154
CUS-1002400,175
CUS-1414950,96
CUS-166050,107
CUS-1499600,93
CUS-661350,164
CUS-785300,172
CUS-1468200,193
CUS-1435500,121
CUS-1503300,155
CUS-1503000,190
CUS-796050,189
CUS-1262600,148
CUS-305050,194
CUS-1489750,61
CUS-199600,179
CUS-1486050,184
CUS-812200,80
CUS-1511400,167
CUS-166300,168
CUS-1472600,83
CUS-1501150,156
CUS-398000,200
CUS-1493300,173
CUS-1509800,118
CUS-1450450,139
CUS-1443100,96
CUS-1525250,85
CUS-1526200,162
CUS-724550,144
CUS-927800,162
CUS-166250,103
CUS-1485150,120
CUS-692150,128
CUS-1495450,178
CUS-1206000,140
CUS-1290050,158
CUS-248500,109
CUS-1446500,72
CUS-619650,87
CUS-1456200,78
CUS-337900,106
CUS-591000,152
CUS-1434900,178
CUS-203250,180
CUS-1503000,191
CUS-155350,165
CUS-1205200,173
CUS-157450,145
CUS-1438700,198
CUS-1478700,104
CUS-724550,101
CUS-1463000,197
CUS-189700,135
CUS-1526100,150
CUS-1516600,168
CUS-164850,171
CUS-1441050,82
CUS-661350,118
CUS-419600,134
CUS-1503000,79
CUS-1516650,152
CUS-222250,134
CUS-157700,177
CUS-1455200,106
CUS-156650,76
CUS-1002400,72
CUS-1486150,197
CUS-1458500,164
CUS-1455050,179
CUS-1429300,124
CUS-1520700,85
CUS-1506200,200
CUS-1461450,153
CUS-1483000,199
CUS-879300,178
CUS-1262600,115
CUS-1444350,193
CUS-166150,141
CUS-1149100,60
CUS-1496900,124
CUS-1478900,103
CUS-1468800,171
CUS-387600,199
CUS-424450,187
CUS-1500700,119
CUS-1481750,162
CUS-1470050,152
CUS-173800,76
CUS-1457250,88
CUS-1445750,151
CUS-1393900,167
CUS-1025800,179
CUS-711000,154
CUS-1463000,168
CUS-1450450,146
CUS-166300,143
CUS-1510400,129
CUS-563450,93
CUS-1520400,105
CUS-1479000,178
CUS-167000,183
CUS-349000,123
CUS-651350,141
CUS-785300,121
CUS-1521250,113
CUS-1500800,155
CUS-1468200,174
CUS-726750,143
CUS-1483050,192
CUS-1450750,103
CUS-1465950,168
CUS-1486150,124
CUS-1455200,128
CUS-160000,109
CUS-1478350,191
CUS-1438700,67
CUS-1252550,110
CUS-783250,149
CUS-1511400,153
CUS-1476900,118
CUS-322550,153
CUS-1460750,155
CUS-424350,184
CUS-1242200,129
CUS-1462000,157
CUS-1478050,150
CUS-1082550,184
CUS-490200,190
CUS-1453800,184
CUS-1450100,159
CUS-499900,168
CUS-1450450,141
CUS-1499000,125
CUS-1463000,108
CUS-621600,91
CUS-185300,106
CUS-1490450,154
CUS-1461550,104
CUS-1509500,152
CUS-1455200,167
CUS-155950,131
CUS-190300,163
CUS-1499950,72
CUS-1468700,181
CUS-1480750,138
CUS-1165050,187
CUS-1149100,198
CUS-561550,66
CUS-152900,160
CUS-1252550,94
CUS-1509750,77
CUS-1435500,143
CUS-1492950,157
CUS-248500,117
CUS-1440250,152
CUS-1091150,184
CUS-672900,131
CUS-1485600,164
CUS-200350,94
CUS-1468300,146
CUS-1450750,196
CUS-387600,162
CUS-565500,129
CUS-439300,156
CUS-1482650,73
CUS-960300,146
CUS-1459100,177
CUS-1486150,154
CUS-1459400,125
CUS-230500,126
CUS-1521150,162
CUS-565500,60
CUS-724550,114
CUS-172100,195
CUS-920750,131
CUS-1496700,103
CUS-505000,71
CUS-1463600,61
CUS-1002400,160
CUS-1450750,107
CUS-1449100,79
CUS-322550,165
CUS-161800,81
CUS-166450,115
CUS-606900,172
CUS-1450500,99
CUS-631850,108
CUS-1447200,119
CUS-1442350,148
CUS-1430500,147
CUS-1149100,166
CUS-1501250,100
CUS-1500500,62
CUS-1496700,169
CUS-1446550,158
CUS-1446900,173
CUS-424400,79
CUS-329450,147
CUS-1447200,197
CUS-1459500,164
CUS-424350,149
CUS-164850,103
CUS-950700,153
CUS-1473000,93
CUS-161650,78
CUS-1478500,192
CUS-615000,182
CUS-565500,115
CUS-1242200,104
CUS-1509900,145
CUS-1491100,71
CUS-660400,193
CUS-1450300,167
CUS-173800,151
CUS-1443100,184
CUS-199600,171
CUS-398000,166
CUS-1262600,113
CUS-1435350,195
CUS-1480750,164
CUS-205900,180
CUS-1514800,183
CUS-1435500,135
CUS-417150,184
CUS-340450,124
CUS-1509900,107
CUS-1283250,61
CUS-1435500,145
CUS-1482250,129
CUS-1501050,35
CUS-1462000,66
CUS-1487950,157
