Customer ID,Total Revenue
CUS-1502900,"$270,730"
CUS-1514550,"$637,657"
CUS-1441700,"$109,059"
CUS-907950,$0
CUS-1493050,"$118,589"
CUS-1494150,"$6,222"
CUS-1456750,"$128,268,436"
CUS-1494000,"$9,090,329"
CUS-1465200,$0
CUS-1267350,"$17,758"
CUS-1468200,"$3,321,232"
CUS-1480550,$0
CUS-1521500,"$1,332"
CUS-329000,"$2,076,835"
CUS-1460150,"$13,881,041"
CUS-591000,"$244,078"
CUS-1517800,"$17,721"
CUS-556900,"$3,390,031"
CUS-1496900,"$576,575"
CUS-1471600,"$467,337"
CUS-1490450,$0
CUS-262450,$276
CUS-1559900,"$1,010,720"
CUS-1597400,"$8,347"
CUS-1494300,"$444,049"
CUS-1537800,"$207,775"
CUS-1502700,"$161,758"
CUS-1437050,"$2,530,927"
CUS-1515700,"$1,979,790"
CUS-1002400,"$279,868"
CUS-1483050,"$644,901"
CUS-1456600,$9
CUS-1500200,$8
CUS-1520250,"$14,057"
CUS-172850,"$76,485"
CUS-424550,"$26,556"
CUS-547400,"$60,360"
CUS-349150,"$99,613"
CUS-1447650,"$5,828"
CUS-908900,"$25,772"
CUS-1589750,$0
CUS-1502750,"$1,288"
CUS-1497050,$0
CUS-558150,"$740,230"
CUS-1528600,"$19,660"
CUS-1472200,"$220,781"
CUS-607700,"$136,151"
CUS-510050,"$139,085"
CUS-1467750,"$329,883"
CUS-1552300,"$179,858"
CUS-1446900,"$1,035,000"
CUS-1441050,"$56,079"
CUS-1441100,"$156,558"
CUS-1478350,"$149,894,724"
CUS-950700,"$263,525"
CUS-1500450,"$96,572"
CUS-1534450,"$10,144"
CUS-724550,"$435,882"
CUS-1587000,$0
CUS-1520850,"$359,298"
CUS-1286600,"$1,415,377"
CUS-1483600,"$302,522"
CUS-651350,"$1,061,074"
CUS-1165050,"$136,669"
CUS-303900,"$1,148,125"
CUS-1509500,"$292,085"
CUS-1500300,$0
CUS-159200,"$147,661"
CUS-1521250,"$614,278"
CUS-1483150,$0
CUS-1337250,"$73,006"
CUS-200350,$0
CUS-1513300,"$432,891"
CUS-1450500,"$2,789,805,441"
CUS-246300,$0
CUS-1507300,"$43,633"
CUS-158700,"$2,023,071"
CUS-1514050,"$93,634"
CUS-1499900,$0
CUS-1500400,$0
CUS-1471050,$0
CUS-1172350,"$170,615"
CUS-1488800,"$15,787"
CUS-1488850,"$53,318"
CUS-1531800,$0
CUS-5600650,$0
CUS-1531000,$78
