Customer ID,MRR
CUS-1468800,"$1,225"
CUS-1470800,"$4,500"
CUS-1471300,"$2,000"
CUS-1472300,"$7,975"
CUS-1472500,"$2,000"
CUS-1472650,"$3,400"
CUS-1474400,"$1,754"
CUS-1476650,"$4,183"
CUS-1478900,"$1,117"
CUS-1480550,"$1,313"
CUS-1482900,$990
CUS-1483150,"$1,015"
CUS-1489100,"$2,150"
CUS-1489250,"$2,100"
CUS-1489300,$800
CUS-1489350,$800
CUS-1491900,"$2,275"
CUS-1492050,$525
CUS-1492100,"$4,150"
CUS-1493250,$980
CUS-1499500,$875
CUS-1506700,"$6,030"
CUS-1508200,$500
CUS-1508250,$500
CUS-1508300,"$1,500"
CUS-1510050,$150
CUS-1510100,$150
CUS-1510150,"$1,000"
CUS-1510350,"$1,250"
CUS-1516200,"$1,000"
CUS-1517200,"$1,889"
CUS-1531150,"$1,430"
CUS-1536150,"$1,690"
CUS-1536400,"$1,602"
CUS-1544950,$780
CUS-1554550,"$4,521"
CUS-1559400,"$1,200"
CUS-1560700,"$2,269"
CUS-1561000,"$1,668"
CUS-1568050,"$2,205"
CUS-1570500,"$2,571"
CUS-164850,"$49,980"
CUS-338100,"$1,200"
CUS-532950,"$2,314"
CUS-190300,"$2,500"
CUS-580650,"$3,230"
CUS-715900,$745
CUS-796350,$248
CUS-833950,"$4,048"
CUS-224800,"$1,528"
CUS-960300,"$1,451"
CUS-237600,"$2,291"
CUS-1485200,"$1,910"
CUS-1485400,"$1,528"
CUS-1510400,"$9,227"
CUS-1530300,"$1,887"
CUS-340450,"$3,132"
CUS-361800,"$1,528"
CUS-362650,"$1,375"
CUS-552650,$993
CUS-645900,$745
CUS-5603000,"$1,980"
CUS-796400,"$11,142"
CUS-830700,$497
CUS-1005900,"$29,012"
CUS-1006000,"$3,257"
CUS-1068750,"$5,571"
CUS-243550,"$6,985"
CUS-1086200,"$9,256"
CUS-244800,"$8,399"
CUS-1465150,"$6,574"
CUS-1470400,"$33,433"
CUS-1475350,"$4,114"
CUS-1520300,"$3,163"
CUS-1532500,"$6,257"
CUS-1542150,"$7,028"
CUS-1551650,"$3,428"
CUS-1552700,"$2,571"
CUS-1563250,"$1,457"
CUS-1579000,"$1,363"
CUS-1589750,"$3,000"
CUS-1600200,"$3,428"
CUS-419600,"$8,571"
CUS-1525900,"$15,518"
CUS-1570200,"$5,391"
CUS-200350,"$27,356"
CUS-671450,"$5,950"
CUS-208800,$588
CUS-236800,"$1,800"
CUS-1082550,"$6,250"
CUS-1283250,"$43,559"
CUS-161650,"$3,170"
CUS-1336650,"$2,580"
CUS-1435350,"$6,318"
CUS-1442050,"$13,599"
CUS-1453750,"$2,000"
CUS-1453950,"$3,330"
CUS-1471400,$588
CUS-1471650,$196
CUS-1471700,$196
CUS-1471750,$196
CUS-1471800,$588
CUS-1471850,$588
CUS-1471900,$588
CUS-1471950,$588
CUS-1472000,$196
CUS-1472050,$196
CUS-1472150,$588
CUS-1473400,"$2,000"
CUS-1481050,"$1,238"
CUS-1481600,"$1,038"
CUS-1492600,"$4,379"
CUS-1511100,"$3,266"
CUS-1526750,"$2,904"
CUS-1541350,"$4,858"
CUS-1548400,"$4,037"
CUS-1588050,"$3,491"
