Customer ID,Help Ticket Count,Help Ticket Lead Time (hours)
CUS-1437050,66,641
CUS-1515700,59,475
CUS-1002400,55,701
CUS-1483050,57,618
CUS-1456600,2,631
CUS-1500200,5,1825
CUS-172850,10,1099
CUS-424550,15,721
CUS-547400,20,786
CUS-349150,40,733
CUS-1447650,21,1191
CUS-1553000,15,345
CUS-908900,12,937
CUS-156100,53,715
CUS-1502750,34,561
CUS-558150,9,334
CUS-1528600,7,1372
CUS-1472200,3,1761
CUS-607700,44,686
CUS-510050,55,1639
CUS-476700,7,1026
CUS-1490150,11,467
CUS-1467750,89,1121
CUS-1552300,11,604
CUS-1446900,12,331
CUS-1441050,7,161
CUS-1441100,7,157
CUS-1478350,26,418
CUS-950700,34,578
CUS-1053700,8,445
CUS-1500450,5,902
CUS-1534450,4,560
CUS-1598150,4,184
CUS-340500,1,11632
CUS-724550,86,576
CUS-398050,2,1296
CUS-1587000,4,590
CUS-1467950,10,376
CUS-1520850,3,38
CUS-1078200,1,942
CUS-1579850,2,1179
CUS-1286600,47,481
CUS-1483600,74,843
CUS-444950,4,951
CUS-756850,10,2237
CUS-651350,17,383
CUS-1165050,6,503
CUS-1554800,1,675
CUS-303900,29,1152
CUS-166800,14,287
CUS-1509500,37,572
CUS-1466500,1,514
CUS-159200,84,869
CUS-1521250,20,411
CUS-1337250,20,399
CUS-200350,27,857
CUS-1513300,16,627
CUS-1450500,26,1087
CUS-1457450,8,839
CUS-1457500,1,348
CUS-1553050,4,513
CUS-1475250,1,147
CUS-246300,9,1816
CUS-1507300,11,801
CUS-158700,53,981
CUS-1514050,5,966
CUS-1500400,3,2012
CUS-161750,10,1598
CUS-1588950,2,763
CUS-1542450,6,197
CUS-197850,14,1226
CUS-1473350,2,2546
CUS-1597000,2,497
CUS-1172350,8,864
CUS-1488800,2,755
CUS-1531000,6,342
CUS-1310400,47,395
CUS-1478200,6,1742
CUS-1533750,39,279
CUS-167000,104,533
CUS-1461550,13,813
CUS-1509200,63,496
CUS-1509900,41,272
CUS-1511400,4,397
CUS-1492100,12,1264
CUS-157450,54,534
CUS-1503150,1,1261
CUS-1574350,11,291
CUS-1500900,13,615
CUS-1536350,27,497
CUS-166450,5,311
CUS-1516700,44,394
CUS-1461000,6,159
CUS-1461800,40,669
CUS-1468700,8,326
CUS-532950,11,1078
CUS-1501300,1,484
CUS-596350,28,874
CUS-879300,1,833
CUS-561550,22,977
CUS-1479700,6,238
CUS-155950,44,623
CUS-424400,18,573
CUS-1447200,12,1683
CUS-291550,6,1339
CUS-349000,35,654
CUS-1091300,30,877
CUS-1553100,4,398
CUS-417150,3,745
CUS-424450,11,816
CUS-1157000,17,1136
CUS-1440050,33,989
CUS-1534800,1,1008
CUS-305050,20,424
CUS-1219750,3,576
CUS-767350,4,1079
CUS-1509800,12,266
CUS-862150,1,176
CUS-182200,20,788
CUS-387600,96,1192
CUS-1567350,1,123
CUS-1454650,7,1224
CUS-1465950,11,376
CUS-1460200,26,567
CUS-1456450,32,449
CUS-1463800,9,1102
CUS-439300,12,843
CUS-851200,15,411
CUS-1507250,11,1542
CUS-1531100,1,1889
CUS-1485050,8,722
CUS-1482300,1,237
CUS-1434650,2,1225
CUS-775950,12,1579
CUS-1442050,49,916
CUS-785300,13,1045
CUS-1441000,18,700
CUS-157800,5,1451
CUS-316250,114,659
CUS-414650,55,1808
CUS-796050,23,469
CUS-862100,2,184
CUS-714600,98,886
CUS-1427700,9,673
CUS-1546750,22,373
CUS-205900,26,1406
CUS-185300,12,779
CUS-1516250,33,400
CUS-1481950,6,696
CUS-1502000,10,481
CUS-1559650,20,426
CUS-557000,5,605
CUS-1507950,3,260
CUS-1476100,19,669
CUS-1538950,9,364
CUS-1525900,65,419
CUS-1450450,24,1023
CUS-1530500,12,525
CUS-270350,6,3343
CUS-1528200,47,425
CUS-490450,2,1477
CUS-1446250,5,486
CUS-1499800,25,720
CUS-1514950,8,1506
CUS-1467200,10,425
CUS-1484400,5,1245
CUS-1546550,55,569
CUS-763850,1,177
CUS-1505950,9,369
CUS-1437100,42,463
CUS-1536050,9,184
CUS-1586900,2,997
CUS-1470900,5,1633
CUS-1235500,18,870
CUS-315700,7,890
CUS-1471300,12,282
CUS-1508200,4,551
CUS-1479850,5,1270
CUS-1455100,11,420
CUS-1493800,21,453
CUS-1446500,18,761
CUS-1469300,1,917
CUS-1513900,32,629
CUS-158600,54,487
CUS-1551900,4,408
CUS-1529450,5,194
CUS-1459400,21,509
CUS-1559700,8,244
CUS-1478950,1,553
CUS-1560200,1,263
CUS-1477650,8,213
CUS-1544450,3,296
CUS-1559100,15,743
CUS-589150,3,1374
CUS-294600,5,932
CUS-1525450,7,272
CUS-1520950,38,525
CUS-1510850,23,1537
CUS-1203300,1,1814
CUS-1488100,2,606
CUS-1441650,3,142
CUS-1490250,1,174
CUS-1502950,1,37
CUS-1499500,4,1248
CUS-162100,15,655
CUS-338700,6,374
CUS-1429300,8,1826
CUS-1473900,9,979
